sample,reads_passed,reads_filtered,total_reads,filtered_percent
AD_4_60_S30_R1_001,15156141,27125,15183266,0.17865062760541772
AD_4_50_S29_R1_001,14604343,22258,14626601,0.15217479440370324
AD_2_60_S10_R1_001,14569396,22305,14591701,0.1528608624861488
AD_3_20_S16_R1_001,14471172,48866,14520038,0.3365418189676914
AD_2_10_S4_R1_001,14163000,19638,14182638,0.13846507257676605
AD_3_40_S18_R1_001,14126017,17960,14143977,0.12697984449493943
AD_2_30_S7_R1_001,13932000,22683,13954683,0.16254758348863962
AD_4_2_S22_R1_001,13879668,17285,13896953,0.12437978310785106
AD_3_50_S19_R1_001,13677017,18354,13695371,0.13401608470482473
AD_3_10_S14_R1_001,13655710,17547,13673257,0.12833079931138572
AD_2_20_S6_R1_001,13644658,24798,13669456,0.1814117547911197
AD_2_15_S5_R1_001,13635036,20772,13655808,0.15211110173781
AD_3_60_S20_R1_001,13598478,20195,13618673,0.14828904402066193
AD_4_40_S28_R1_001,13566299,19734,13586033,0.14525211296042045
AD_4_5_S23_R1_001,13540133,19561,13559694,0.14425841763095834
AD_2_50_S9_R1_001,13406485,16570,13423055,0.1234443276884435
AD_3_5_S13_R1_001,13400240,19620,13419860,0.1462012271364977
AD_4_0_S21_R1_001,13259856,18814,13278670,0.14168587667288968
AD_2_40_S8_R1_001,13066980,23026,13090006,0.17590519057057727
AD_2_0_S1_R1_001,12926207,16666,12942873,0.12876584665553004
AD_4_15_S25_R1_001,12738024,17384,12755408,0.13628729084949692
AD_3_15_S15_R1_001,12708858,18226,12727084,0.14320640926075448
AD_2_5_S3_R1_001,12701476,18301,12719777,0.1438783085583969
AD_2_2_S2_R1_001,12672233,18424,12690657,0.1451776688945261
AD_4_10_S24_R1_001,12584453,20667,12605120,0.16395718565154477
AD_4_30_S27_R1_001,12586823,16291,12603114,0.1292617046866354
AD_3_2_S12_R1_001,12224499,16266,12240765,0.1328838516220187
AD_3_30_S17_R1_001,12140222,14666,12154888,0.12065927715664676
AD_4_20_S26_R1_001,11850696,19475,11870171,0.16406671816269539
AD_3_0_S11_R1_001,11829143,16382,11845525,0.13829695180247395
