sample,reads_passed,reads_filtered,total_reads,filtered_percent
RP_2_60_S40_R1_001,57904291,70491,57974782,0.1215890729869411
RP_3_60_S50_R1_001,53524447,70395,53594842,0.13134659488314193
RP_4_60_S60_R1_001,50191298,59520,50250818,0.11844583306086678
RP_2_50_S39_R1_001,50196188,51712,50247900,0.10291375360960359
RP_3_50_S49_R1_001,48209610,59535,48269145,0.12333966139238639
RP_4_40_S58_R1_001,45028935,53981,45082916,0.11973715276092613
RP_3_40_S48_R1_001,39320505,49854,39370359,0.12662825858407845
RP_2_40_S38_R1_001,37719653,41352,37761005,0.10950979721011134
RP_4_50_S59_R1_001,35075095,47842,35122937,0.13621298241659005
RP_3_30_S47_R1_001,33932563,46622,33979185,0.13720752866791833
RP_2_30_S37_R1_001,33160900,49223,33210123,0.14821685544494972
RP_3_10_S44_R1_001,31328946,39204,31368150,0.12498027457787597
RP_4_30_S57_R1_001,31223203,40960,31264163,0.1310126229830621
RP_3_20_S46_R1_001,26889871,31126,26920997,0.1156197892670914
RP_4_20_S56_R1_001,26500883,35185,26536068,0.13259311816656486
RP_2_20_S36_R1_001,25785096,28353,25813449,0.1098380925385058
RP_4_15_S55_R1_001,20333775,24814,20358589,0.12188467481710054
RP_2_15_S35_R1_001,19978096,20742,19998838,0.10371602590110486
RP_3_15_S45_R1_001,19748974,42437,19791411,0.21442129618752295
RP_2_10_S34_R1_001,15870884,18373,15889257,0.11563158680106944
RP_4_10_S54_R1_001,15079010,19225,15098235,0.12733276439265914
RP_3_5_S43_R1_001,9829402,14634,9844036,0.14865853802241275
RP_4_5_S53_R1_001,8699559,13798,8713357,0.15835458136284328
RP_2_5_S33_R1_001,8306598,9949,8316547,0.11962897582374031
RP_3_2_S42_R1_001,6778034,6754,6784788,0.09954622016192693
RP_4_2_S52_R1_001,6626192,7538,6633730,0.11363139591150076
RP_2_2_S32_R1_001,6580541,6674,6587215,0.10131747635381569
RP_3_0_S41_R1_001,3209636,3273,3212909,0.1018702988475553
RP_2_0_S31_R1_001,2713970,3400,2717370,0.12512098094849064
RP_4_0_S51_R1_001,2483050,2808,2485858,0.11295898639423492
