,pop_size_estimate,lower_ci,upper_ci,rep,time
0,14964822.7,9764701.5,71166240.8,2,0
1,12762225.4,10284359.2,47846261.3,2,2
2,11974449.7,9105665.9,53422837.1,2,5
3,14803914.2,12744876.4,31934351.5,2,10
4,15854568.9,13080607.3,58595116.3,2,15
5,15654460.8,14204709.1,46510819.5,2,20
6,15591526.5,13611079.0,23857875.2,2,30
7,17465036.2,14416757.6,63613841.9,2,40
8,15907927.6,13699065.9,38294157.6,2,50
9,14476414.2,11305181.3,42873136.2,2,60
10,11096425.1,9297256.6,45568362.4,3,0
11,11375850.2,9066157.4,47844302.4,3,2
12,14651163.3,9924276.2,89588999.6,3,5
13,17538190.0,11943970.9,61299330.1,3,10
14,17695343.1,15012561.4,51367631.1,3,15
15,14333574.2,12933873.8,23913503.0,3,20
16,15862504.2,9826393.0,182706418.9,3,30
17,14200028.5,11823557.0,41654301.1,3,40
18,13648514.4,10777705.3,18781612.3,3,50
19,12239362.1,9642378.0,39349280.3,3,60
20,13719015.6,9801512.4,43528944.2,4,0
21,14814144.2,11968224.2,69707383.0,4,2
22,10034727.5,8610629.9,29775766.7,4,5
23,16056499.7,13463493.7,60180267.4,4,10
24,10457321.7,8963115.6,17094613.9,4,15
25,11720412.3,9744451.9,131397575.3,4,20
26,12696050.6,10004951.7,22610739.6,4,30
27,16035043.5,13390572.1,20319173.0,4,40
28,17928316.8,13629512.1,41010033.6,4,50
29,14572196.8,11374428.5,72482512.0,4,60
