,index,pop_size_estimate,lower_ci,upper_ci,rep,time
0,0,781147.3,680018.3,1420123.8,2,0
4,0,2405276.8,1421112.7,18034017.6,2,2
8,0,2521074.8,1647959.1,10049077.3,2,5
1,0,5229649.3,4433776.2,18000871.4,2,10
2,0,6952746.0,5292740.9,28245392.5,2,15
3,0,9508044.8,5229891.2,27656617.3,2,20
5,0,12048576.6,7500265.0,68527855.9,2,30
6,0,19089762.8,11468089.2,68414539.7,2,40
7,0,22434172.5,18351057.5,99526932.8,2,50
9,0,22321399.7,17505470.8,109138057.4,2,60
10,0,932832.4,729977.1,6096099.9,3,0
14,0,1518575.9,1227289.6,2535695.7,3,2
18,0,3507680.6,3004411.8,8668985.8,3,5
11,0,11759623.5,5801761.7,26876793.1,3,10
12,0,8908522.9,5141096.2,129720161.7,3,15
13,0,9362761.5,7914864.1,49554911.2,3,20
15,0,13417455.2,11633146.9,31950667.0,3,30
16,0,17912665.1,14447824.3,46084997.5,3,40
17,0,22630140.2,15929069.8,180431288.9,3,50
19,0,19419879.1,16986893.1,43400813.8,3,60
20,0,750835.3,630390.8,3985939.7,4,0
24,0,2436222.2,1683989.8,15529883.5,4,2
28,0,3052037.9,1579983.4,7914598.2,4,5
21,0,8671860.3,3000331.9,160379390.3,4,10
22,0,7298551.3,5832626.8,52690735.7,4,15
23,0,10477547.5,7940572.6,123849104.7,4,20
25,0,14249329.7,8774699.8,77104885.8,4,30
26,0,17734087.3,15870411.4,54863093.2,4,40
27,0,14228298.0,7259850.3,32235663.2,4,50
29,0,20922790.4,13267553.9,62012061.5,4,60
