,gene,max_speed,mean_speed,median_speed,top3_mean_speed,speed_std,tile_count,coverage_fraction
0,ABF1,0.0840932932178269,0.07337029602125027,0.0744945046866745,0.0776941008637253,0.011715603348546887,4.0,0.5113636363636364
1,ACA1,0.116345582195353,0.08014632626654193,0.0736535034663633,0.08014632626654193,0.03342914182969698,3.0,0.6818181818181818
2,ACE2,0.1677216347537465,0.13406886466147241,0.1340585309530148,0.14870653026999184,0.02355227910328112,5.0,0.625
3,ADR1,0.1600747695820036,0.11155542302576829,0.1099370673743081,0.15401941100830174,0.025929885404426322,21.0,0.3299256505576208
4,AFT1,0.1672888523402393,0.10320548577114343,0.1008375601607515,0.14312363856027885,0.029669810189415276,15.0,1.0511363636363635
5,AFT2,0.1579422472264437,0.11196361443938233,0.1079168582063655,0.13778465109918528,0.02606326679331947,8.0,0.8238636363636364
6,ARO80,0.143262763730303,0.11055978215528148,0.11218183294814535,0.12793166593936026,0.019782837219090115,8.0,0.8522727272727273
7,ASG1,0.1182695287772258,0.07957272846567302,0.0753387079805685,0.09837788340037097,0.023698822674400773,6.0,1.0113636363636365
10,BAS1,0.1308984982609169,0.09357675078217802,0.0860970420188222,0.10390874702907064,0.022471340720121368,5.0,0.7386363636363636
11,CAD1,0.1173144501138884,0.10867113098627437,0.11314116364199925,0.11453225913262897,0.012087529050009337,4.0,0.48295454545454547
12,CAT8,0.1322344121977225,0.10172266079964176,0.10060178547817294,0.12363887880323904,0.018048320845356694,12.0,0.2184014869888476
14,CEP3,0.125507986412206,0.0768157607969853,0.06913229330616595,0.11210867096476777,0.02810587539856605,10.0,1.1931818181818181
15,CHA4,0.1801712168941109,0.09646642667308526,0.09185231825005591,0.1451493613404078,0.03874277321183689,12.0,0.9659090909090909
18,COM2,0.0454002071966413,0.03461122273272945,0.03461122273272945,0.03461122273272945,0.015257928153096754,2.0,0.45454545454545453
19,CRZ1,0.1418456076548774,0.08856326260399708,0.0847182159939784,0.12954847783153675,0.029060542211709752,13.0,1.1363636363636365
20,CSE4,0.0826071287312559,0.0810764559616208,0.0810764559616208,0.0810764559616208,0.00216469819037315,2.0,0.2556818181818182
21,CST6,0.1017227332185243,0.08781501560210943,0.088483044096258,0.08781501560210943,0.014253477576481752,3.0,0.2840909090909091
24,DAL82,0.1612243319723816,0.14187043806159313,0.14187043806159313,0.14187043806159313,0.027370539253367084,2.0,0.45454545454545453
26,ECM22,0.1213838740661985,0.09793154355727685,0.1033409595505109,0.11188136249600945,0.019686672089945435,6.0,0.625
28,EDS1,0.0901366922498356,0.0752940683169093,0.0852903485366063,0.0752940683169093,0.021647173752573214,3.0,0.48295454545454547
29,ERT1,0.0818023492535444,0.06629687833611925,0.06629687833611925,0.06629687833611925,0.021928047262404247,2.0,0.45454545454545453
30,FHL1,0.0997213859142364,0.08604064345275682,0.08541355004642595,0.09018282866902944,0.01316424497807299,4.0,0.3125
33,FZF1,0.0935117121858463,0.08921434853287549,0.08921434853287549,0.08921434853287549,0.006077389960480483,2.0,0.2556818181818182
34,GAL4,0.1910699760817825,0.12172705313914772,0.1173718239825156,0.15819497564125226,0.02922608406521663,11.0,1.1079545454545454
35,GAT1,0.1364129585143161,0.09535743943132381,0.0954123675609771,0.11700681015891963,0.02129783554415331,11.0,1.2215909090909092
39,GCN4,0.1778459782330495,0.14513729899935224,0.1361171874844756,0.17093517239302658,0.026830127153579388,7.0,0.45454545454545453
40,GIS1,0.1025705021152488,0.0853740480868747,0.088227554390823,0.09998617676309192,0.013936930048425156,13.0,0.9375
41,GLN3,0.1781162667906601,0.11633751350070255,0.1018186017399164,0.16188553962686408,0.03487977825017323,11.0,0.7954545454545454
42,GSM1,0.14896014896326,0.10210640073406493,0.1033977914378972,0.13020203967052893,0.030743018489732744,7.0,0.6534090909090909
43,GZF3,0.1711097254905146,0.12364347482227646,0.1165362134241006,0.12364347482227646,0.044341888390003296,3.0,0.3693181818181818
44,HAC1,0.1514958671833135,0.10882119574472014,0.0989229676738055,0.12986727201764556,0.024104079381102542,7.0,0.3806818181818182
46,HAP1,0.1049341869593376,0.08376566377523016,0.08380419388369545,0.09708468016656106,0.016523990801938233,6.0,0.13940520446096655
48,HCM1,0.0892909988487661,0.07616784592075977,0.07956891258803256,0.08280960800827707,0.014172972452213184,4.0,0.3125
51,HMS2,0.1280032643971385,0.0881071827822519,0.0932505801933303,0.0881071827822519,0.042700740837134904,3.0,0.3409090909090909
52,HSF1,0.0944974403263553,0.08993841319353685,0.0905528054662175,0.0918676837529301,0.004319322454841188,4.0,0.5681818181818182
54,LEU3,0.1505863099427616,0.1074510458541829,0.1047493004882515,0.13669820466412488,0.02552534662009397,10.0,0.8806818181818182
55,LYS14,0.1458258498508491,0.11263417874919551,0.1147552288083791,0.1389804478665683,0.02404982528802703,12.0,1.0227272727272727
58,MBP1,0.0835924828043849,0.07461298971273507,0.0827771801610438,0.07461298971273507,0.014852460859694074,3.0,0.5397727272727273
67,MOT2,0.0889896477214991,0.0618437620800138,0.0633135153654713,0.0618437620800138,0.02790980180131951,3.0,0.2840909090909091
69,MSN2,0.1490288855776611,0.09703393662387749,0.0881367081263944,0.11070655292904753,0.0301237651011741,5.0,0.7670454545454546
70,MSN4,0.1554355834942702,0.10381208313763829,0.09668577798626365,0.13528173660025944,0.030465285577152404,8.0,1.1079545454545454
71,NDT80,0.1334903935525463,0.09964742975180461,0.0994997388244675,0.1163749765364165,0.015810055002275024,11.0,0.9375
76,OAF1,0.12680531391588,0.08771771236569988,0.0860542041587278,0.12350932510367528,0.02556503787665146,12.0,0.1775092936802974
77,PDR1,0.1806824708097874,0.10238305209731452,0.0906705702950043,0.13017381145123083,0.04143134988346041,6.0,0.1579925650557621
78,PDR8,0.1376470618248331,0.0961747433749339,0.10882796652539226,0.12269260593674473,0.030662369455432194,8.0,0.6534090909090909
79,PHD1,0.0825203872589429,0.08227928730527925,0.08227928730527925,0.08227928730527925,0.00034096682435865805,2.0,0.2840909090909091
80,PHO2,0.1285933716996515,0.0821376344431889,0.08091750219248495,0.11486414473458613,0.03249219718836242,8.0,0.8522727272727273
81,PHO4,0.0933289561017024,0.0924490800337612,0.0924490800337612,0.0924490800337612,0.00124433266848996,2.0,0.2840909090909091
82,PIM1,0.269285318299833,0.10744973562724952,0.09686405656719,0.18592006151927198,0.04906246492027442,17.0,0.241635687732342
83,PPR1,0.158793860689424,0.11503527220171536,0.11637774591194094,0.14472610864694976,0.02213620969277396,18.0,1.6477272727272727
84,PUT3,0.1886312238784334,0.11529808807126364,0.101328096724051,0.15352459108060254,0.03503262820158515,9.0,0.9545454545454546
85,RAP1,0.1402644715544573,0.11176596314099091,0.1110907735427379,0.13376811093530752,0.01868316736700236,9.0,0.7670454545454546
86,RDR1,0.1615604008151861,0.12187078597869327,0.13460062085589208,0.14358721417565676,0.04539361335143977,4.0,0.48295454545454547
87,RDS1,0.1854565454279163,0.09304496064509155,0.0740201839183708,0.16361480197158182,0.04640267604479375,15.0,1.3409090909090908
88,RDS2,0.1290807402555071,0.10489134083187968,0.1053792624002475,0.1179515734390763,0.013828160729663048,8.0,0.625
89,REB1,0.1103207505930242,0.10720267088578214,0.10720267088578214,0.10720267088578214,0.0044096306105420304,2.0,0.45454545454545453
90,REI1,0.0987532704347603,0.07551867583388938,0.0710743805798663,0.09493240224123121,0.019788310993501403,7.0,0.625
91,RFA1,0.1429392884844889,0.09272891704188291,0.0749940083651722,0.0927289170418829,0.04410365102820164,3.0,0.6818181818181818
92,RFA2,0.0951754574945845,0.09381233133522425,0.09381233133522425,0.09381233133522425,0.0019277515017928192,2.0,0.23863636363636365
94,RFX1,0.1202468813087744,0.09019320884129631,0.0969868324897484,0.11576131937890273,0.0230894872216438,11.0,1.1647727272727273
96,RGT1,0.1109801610493276,0.07881759786420055,0.07830515880331256,0.09859151378162184,0.025367443197350757,6.0,0.12546468401486988
97,RIM101,0.1008681426319977,0.0795790249913936,0.0700586147020856,0.07957902499139359,0.018471156091494287,3.0,0.48295454545454547
100,RPH1,0.1885437976459253,0.09005812934144435,0.0925882350082214,0.1373563802282983,0.037583386370450556,13.0,0.9090909090909091
101,RPN4,0.1364051245390121,0.10861156736679145,0.11320474068599126,0.1278374115748278,0.031128766919229844,6.0,0.625
102,RSC3,0.11492637582838,0.0792988231811316,0.0746244971892196,0.09896147998297146,0.02430920643657695,6.0,1.25
103,RSC30,0.1153436158035601,0.08773701949543211,0.08764789766207084,0.10639137616914378,0.016015446070144036,12.0,1.25
104,RSF2,0.1077190230422518,0.07939693715265905,0.07659704265565839,0.10363130978853098,0.014816468491602343,20.0,0.3671003717472119
