,rep,time,mu,sigma,z-score_active,shifted_active
0,2,0,-2.2861987785522286,0.8187268617861474,0.127022572912505,0.005643228126248501
1,2,2,-2.2028601416763265,0.8596858311537167,0.08803123309579247,0.007361414896869635
2,2,5,-2.29715072280369,0.8675288923475633,0.12636813369902342,0.026503985850870222
3,2,10,-2.0261536489881835,0.7847161293185049,0.16366746789666298,0.0311396955326014
4,2,15,-1.8323203592032917,0.8475369534761119,0.10860297565758623,0.03176024214520186
5,2,20,-1.7207636166303173,0.9864781586386809,0.06372314539442214,0.03552191003057214
6,2,30,-1.5906800766385953,1.0493524068249775,0.05147596465205674,0.03745795642091629
7,2,40,-1.5717064730603691,0.9523850439451857,0.07492085824832923,0.03709834267861207
8,2,50,-1.3549975976019961,1.025563571675647,0.04369986800690425,0.027231190983856228
9,2,60,-1.5447826399704174,1.0062651193335361,0.06349896480331263,0.03739130434782609
10,3,0,-2.2242112848991784,0.7527144428550268,0.19330450955290934,0.00707712374097244
11,3,2,-2.443304120180606,0.7002358155456347,0.5163612903225806,0.02647741935483871
12,3,5,-2.235208333160192,0.6981820018551841,0.3507598644005258,0.030440698291169892
13,3,10,-1.9437286763070445,0.8206112092687851,0.13136706319543814,0.032590820750485874
14,3,15,-1.7485122882857687,0.9057171926699414,0.07618416694269625,0.0351730705531633
15,3,20,-1.6338334693764396,0.9040721753559681,0.07642242719452794,0.035298994714478185
16,3,30,-1.6332339680794483,0.9195462683989554,0.08474168652572203,0.04276438050678852
17,3,40,-1.5817890631262301,0.9320747604529279,0.08296758051862689,0.04253334181455802
18,3,50,-1.4643214342200483,0.9902254680428708,0.05499572301850577,0.034966931630886065
19,3,60,-1.455034908747246,0.9682521149086969,0.05742914036351311,0.03395754776935135
20,4,0,-2.442759677717773,0.8305616738555042,0.21237420233561177,0.005221075995661715
21,4,2,-2.310634116128641,0.7531364461120174,0.26063145083904793,0.006553233318510544
22,4,5,-2.4942271939942082,0.8355866058030232,0.2468351006275698,0.021775589699199308
23,4,10,-1.9666365174466325,0.7363182865470895,0.21519769796440372,0.020526484066929553
24,4,15,-2.0553105062674843,0.8102762515667117,0.19099459046934975,0.03180624452874234
25,4,20,-1.803410139851287,0.9362876535317364,0.08178807947019867,0.026578366445916116
26,4,30,-1.580526882320857,0.947323941637039,0.07052589524149967,0.026179111382130915
27,4,40,-1.4320983938579106,0.9430779677536134,0.06498871513783654,0.02121957117523779
28,4,50,-1.4888497289000988,0.9225918441283384,0.07551634249047523,0.024042510527371164
29,4,60,-1.53772047535356,1.0107981236462091,0.051704473450766696,0.021987073881637308
