,pop_size_estimate,lower_ci,upper_ci,rep,time
0,13856276.5,10253555.5,15598917.1,1,0
1,14458222.2,10768754.2,16345091.7,1,5
2,14739967.9,12152555.2,19026489.8,1,10
3,11722134.3,9418236.1,13105713.7,1,15
4,14041660.8,11365888.7,16909085.5,1,30
5,15267786.6,12591072.7,18849104.5,1,180
6,16305573.2,13449213.2,17300671.4,1,240
7,14239829.4,11463355.3,15725991.2,2,0
8,14289007.3,12045175.5,16628934.7,2,5
9,13884127.1,12656093.3,16499957.7,2,10
10,14886908.4,11207421.6,17695950.5,2,15
11,14383483.6,11717280.8,16227958.4,2,30
12,15343981.0,13108379.4,16526908.6,2,180
13,15595136.6,11842405.3,21760081.8,2,240
14,15965104.9,11351426.5,21266019.9,3,0
15,12267046.8,9855045.1,18192347.1,3,5
16,12600822.9,10183160.3,16497701.9,3,10
17,13519996.1,12237369.1,16760829.3,3,15
18,12198956.6,9333346.7,15170237.0,3,30
19,12816272.8,11329052.9,14462700.9,3,180
20,14272896.5,10692410.4,17296276.1,3,240
