,pop_size_estimate,lower_ci,upper_ci,converged,rep,time
0,141147872.7,65567933.4,2068117645.7,not_converged,1,0
6,188217015.1,132109995.7,647364429.3,not_converged,1,5
1,410399668.5,318340893.3,2067976888.6,not_converged,1,10
2,361155110.7,294169353.8,685084458.2,not_converged,1,15
5,555041009.6,454734221.6,3100442044.0,not_converged,1,30
3,1074258246.7,513544449.5,7337378713.5,not_converged,1,180
4,671692203.5,562754806.9,3249165307.6,not_converged,1,240
7,186171304.0,69585119.9,4096803141.6,not_converged,2,0
13,230172559.4,148158080.0,1864528214.5,not_converged,2,5
8,521735179.4,291521856.6,3461667728.5,not_converged,2,10
9,599477049.7,480877268.8,2293956064.9,not_converged,2,15
12,593817269.6,466443723.0,2738987233.0,not_converged,2,30
10,781691470.3,555245016.3,5539472102.0,not_converged,2,180
11,667636648.3,550030986.3,3841229305.9,not_converged,2,240
14,114828274.9,58842914.4,412985923.3,not_converged,3,0
20,195508208.8,145181924.9,3798614196.0,not_converged,3,5
15,340747431.2,267792741.6,829009840.0,not_converged,3,10
16,451457308.9,357575941.2,587678399.5,not_converged,3,15
19,442277790.8,377637022.3,1082836676.9,not_converged,3,30
17,739892136.4,535161328.3,1728611866.4,not_converged,3,180
18,690442020.1,591967272.1,2545214188.8,not_converged,3,240
